0	0	16.8	-2.82	0	16.53	-2.77	16.6081	-2.7863	0.0476
0.02	0	16.8	-2.79	-0.01	16.52	-2.74	16.6028	-2.7574	0.2575
0.04	0	16.79	-2.71	-0.02	16.5	-2.66	16.582	-2.6816	0.5864
0.06	0	16.78	-2.61	-0.04	16.47	-2.56	16.5454	-2.5805	1.0112
0.08	0	16.76	-2.49	-0.06	16.41	-2.44	16.4951	-2.4575	1.505
0.1	0	16.74	-2.35	-0.07	16.35	-2.29	16.4347	-2.3156	1.9865
0.12	0	16.7	-2.18	-0.09	16.29	-2.13	16.3671	-2.1502	2.3822
0.14	0	16.65	-1.98	-0.1	16.21	-1.93	16.2959	-1.9538	2.6329
0.16	0	16.59	-1.74	-0.1	16.14	-1.69	16.2247	-1.7159	2.6937
0.18	0	16.52	-1.45	-0.09	16.08	-1.41	16.1586	-1.4272	2.526
0.2	0	16.47	-1.09	-0.07	16.02	-1.06	16.1031	-1.0809	2.0984
0.22	0	16.42	-0.68	-0.05	15.98	-0.66	16.063	-0.6802	1.4112
0.24	0	16.4	-0.23	-0.02	15.96	-0.22	16.0422	-0.2402	0.5267
0.25	0	16.4	0.24	0.02	15.96	0.23	16.0414	0.2145	-0.4254
0.27	0	16.42	0.69	0.05	15.98	0.67	16.0606	0.6557	-1.3161
0.29	0	16.47	1.1	0.07	16.02	1.07	16.0997	1.0585	-2.0143
0.31	0	16.53	1.46	0.09	16.08	1.42	16.1547	1.4072	-2.4542
0.33	0	16.59	1.75	0.1	16.14	1.71	16.221	1.6984	-2.6337
0.35	0	16.65	2	0.1	16.22	1.94	16.2925	1.9386	-2.583
0.37	0	16.7	2.19	0.09	16.29	2.14	16.3645	2.137	-2.3401
0.39	0	16.74	2.36	0.08	16.35	2.3	16.4327	2.3042	-1.9482
0.41	0	16.77	2.5	0.06	16.42	2.44	16.494	2.4479	-1.465
0.43	0	16.79	2.62	0.04	16.47	2.56	16.5448	2.5726	-0.9623
